customer_id,first_name,last_name,email,phone,address,city,state,zip_code,signup_date,loyalty_tier
C1000,Ethan,Brown,ethan.brown83@example.com,+1-340-313-2849,3683 Oak Street,Portland,OR,50768,2024-11-05,Bronze
C1001,Amelia,Taylor,amelia.taylor69@example.com,+1-823-830-5988,7639 Cedar Lane,Austin,TX,28748,2025-02-25,Bronze
C1002,Noah,Davis,noah.davis27@example.com,+1-244-940-1964,7209 Cedar Lane,Boston,MA,89759,2025-06-20,Bronze
C1003,Noah,Taylor,noah.taylor41@example.com,+1-754-311-2299,2973 Birch Place,Denver,CO,68914,2025-10-02,Gold
C1004,Noah,Moore,noah.moore57@example.com,+1-775-348-5959,843 Highland Court,Chicago,IL,36859,2024-05-03,Bronze
C1005,Ethan,Johnson,ethan.johnson61@example.com,+1-332-869-7837,933 Highland Court,Seattle,WA,61042,2024-01-17,Silver
C1006,Mia,Moore,mia.moore80@example.com,+1-810-476-4275,4058 Pine Drive,San Diego,CA,92796,2024-02-22,Bronze
C1007,Noah,Moore,noah.moore49@example.com,+1-325-909-7177,8987 Birch Place,Seattle,WA,65472,2025-02-24,Gold
C1008,Sophia,Wilson,sophia.wilson90@example.com,+1-347-678-9231,5016 Birch Place,Portland,OR,84544,2025-05-24,Gold
C1009,Liam,Brown,liam.brown96@example.com,+1-699-936-7385,2949 Oak Street,Denver,CO,60012,2024-04-22,Bronze
C1010,Ethan,Garcia,ethan.garcia13@example.com,+1-688-466-8557,7485 Maple Avenue,Phoenix,AZ,15947,2024-09-01,Bronze
C1011,Sophia,Miller,sophia.miller18@example.com,+1-579-681-7889,5740 Hillcrest Road,San Diego,CA,76702,2025-02-24,Gold
C1012,Lucas,Moore,lucas.moore88@example.com,+1-715-597-6911,6492 Sunset Boulevard,Portland,OR,78977,2025-09-09,Silver
C1013,Mia,Wilson,mia.wilson79@example.com,+1-648-382-2752,3255 Pine Drive,Phoenix,AZ,18536,2025-05-29,Platinum
C1014,Noah,Garcia,noah.garcia89@example.com,+1-301-514-5670,3292 Pine Drive,San Diego,CA,34656,2024-03-17,Platinum
